"","x"
"country",1
"bmi_localprice",2
"bmi_usd_price",1
"bmi_change",2
"export_usd",3
"import_usd",3
"net_export",1
"GDP",3
"gdp_per_capita",1
"inflation",2
"unemployment",2
"hdi",1
"population",3
