"","x"
"Argentina",1
"Australia",2
"Brazil",1
"United Kingdom",3
"Canada",2
"Chile",1
"China",1
"Czech Rep.",2
"Denmark",2
"Hong Kong",2
"Hungary",2
"Indonesia",1
"Japan",1
"Malaysia",1
"Mexico",1
"New Zealand",2
"Peru",1
"Philippines",1
"Poland",1
"Russia",1
"Singapore",2
"South Africa",1
"Korea",1
"Sweden",2
"Switzerland",2
"Thailand",1
"Turkey",1
"United States",3
